Vancouver — Rental Market Statistics Summary by Zone
October 2024 Row / Apartment Bachelor
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,1.3,a ,**,,"1,667",b ,"1,750",c ,++,,684,
English Bay,3.0,c ,**,,"1,612",a ,"1,618",a ,**,,901,
Downtown,2.3,a ,**,,"1,783",a ,"1,803",a ,++,,"2,516",
South Granville/Oak,1.4,a ,**,,"1,510",a ,"1,450",a ,7.1,c ,"1,807",
Kitsilano/Point Grey,0.5,b ,**,,"1,509",b ,"1,556",c ,**,,905,
Westside/Kerrisdale,**,,**,,"1,749",b ,"1,900",d ,10.2,d ,278,
Marpole,**,,**,,"1,306",b ,"1,225",c ,**,,328,
Mount Pleasant/Renfrew Heights,2.9,c ,**,,"1,624",a ,"1,645",a ,**,,"1,202",
East Hastings,1.6,b ,**,,"1,625",a ,"1,650",b ,5.5,d ,"1,172",
Southeast Vancouver,0.3,b ,**,,"1,240",c ,**,,5.9,c ,372,
University Endowment Lands,0.0,c ,**,,"1,769",a ,"1,700",a ,**,,246,
Central Park/Metrotown,3.0,c ,**,,"1,513",b ,"1,350",c ,++,,281,
Southeast Burnaby,0.0,c ,**,,"1,112",b ,"1,100",d ,++,,139,
North Burnaby,1.4,a ,**,,"1,286",b ,"1,100",b ,++,,291,
New Westminster,1.4,a ,**,,"1,530",b ,"1,700",b ,++,,"1,122",
North Vancouver CY,3.3,d ,**,,"1,608",b ,"1,450",c ,**,,706,
North Vancouver DM,3.6,d ,**,,"1,584",a ,"1,495",a ,7.5,b ,227,
West Vancouver,0.7,a ,**,,"1,570",b ,"1,575",b ,++,,244,
Richmond,0.9,a ,**,,"1,451",a ,"1,400",b ,**,,342,
Delta,0.0,d ,**,,"1,119",b ,"1,000",c ,**,,79,
Surrey,2.5,c ,**,,"1,427",a ,"1,360",b ,**,,241,
White Rock,1.2,d ,**,,"1,165",a ,"1,137",b ,**,,73,
Langley City and Langley DM,0.9,d ,**,,"1,103",a ,"1,000",a ,**,,96,
Tri-Cities,0.4,b ,**,,"1,630",b ,**,,**,,292,
Maple Ridge/Pitt Meadows,**,,**,,**,,**,,**,,22,
Vancouver,1.8,a ,**,,"1,576",a ,"1,565",a ,6.2,b ,"14,566",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Rental Market Survey
